RNA_1.1,RNA_1.3,RNA_1.5,RNA_2.1,RNA_2.3,RNA_2.5,RNA_3.1,RNA_3.3,RNA_3.5,RNA_4.1,RNA_4.3,RNA_4.5,RNA_4.7,RNA_5.1,RNA_5.3,RNA_5.5,RNA_8.1,RNA_8.3,RNA_9.1,RNA_11.1,RNA_12.1,RNA_13.1,RNA_13.3,RNA_14.1,RNA_15.1,RNA_16.1,RNA_17.1,RNA_18.1,RNA_19.1,RNA_20.1,RNA_21.2,RNA_22.1,RNA_22.2,RNA_23.1,RNA_24.1,RNA_24.3,RNA_25.1,RNA_25.3,RNA_25.5,RNA_25.7,RNA_35.1,RNA_36.1,RNA_37.1,RNA_38.1,RNA_39.1,RNA_40.1,RNA_41.1,RNA_41.3,RNA_42.3,RNA_42.5,RNA_43.1,RNA_43.3,RNA_44.1,RNA_45.1,RNA_45.3,RNA_46.3,RNA_46.7,RNA_47.5,RNA_48.5,RNA_49.7,RNA_50.5,RNA_51.5,RNA_52.5,RNA_53.5,RNA_54.3,RNA_54.5,RNA_61.1,RNA_61.3,RNA_62.1,RNA_63.1,RNA_63.3,RNA_64.1,RNA_65.1,RNA_66.1,RNA_67.1,RNA_68.1,RNA_42.2,RNA_43.2,RNA_46.2,RNA_47.1,Gene...1,GENE_FUNCTION...14
236,1,188,0,0,0,109,0,57,114,76,21,20,54,2,66,26,38,91,93,18,27,70,62,29,70,297,83,37,55,33,41,50,55,19,42,88,70,87,135,251,191,195,148,139,157,4,5,109,56,12,7,8,2,5,4,23,13,99,161,20,13,5,4,31,29,0,39,159,30,23,108,74,153,140,25,35,2,13,106,PTPRCAP,TCR_coexpression
0,0,0,0,0,0,5,0,1,0,1,0,2,6,3,9,0,0,13,0,9,4,7,0,0,1,43,0,7,2,0,0,0,4,1,3,1,0,0,0,11,0,33,0,21,78,0,0,0,0,0,0,2,9,1,0,2,0,2,0,2,0,0,0,0,0,0,0,35,1,0,0,10,19,12,2,0,0,3,0,KIR2DL2,NK_cell_marker
4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,CTAG2,Tumor_antigen
363,42,1732,3,0,0,1250,0,1086,149,174,85,30,382,147,1067,37,195,1053,1017,1120,1048,1918,1555,670,919,2704,339,489,336,280,639,1275,565,429,669,777,663,735,990,4342,2539,2037,2064,1368,1828,51,48,808,834,120,173,65,185,32,71,125,567,350,1053,124,93,147,216,163,215,16,1095,4059,1285,423,1362,2103,1062,825,274,184,22,98,2452,CX3CR1,Lymphocyte_infiltrate
7,0,41,0,0,0,32,0,32,14,19,13,4,28,9,49,0,10,13,26,19,64,83,70,4,39,81,15,12,19,7,5,31,21,18,25,39,23,28,61,145,86,156,93,79,184,2,1,32,31,6,13,6,3,0,7,3,10,11,27,15,2,2,12,6,8,1,61,344,24,9,81,109,38,38,17,5,3,4,55,CX3CR1,Lymphocyte_infiltrate
4,5,34,0,0,0,43,1,54,31,18,9,8,17,17,48,1,9,9,44,47,53,92,60,19,31,105,21,22,25,16,18,39,69,18,43,67,42,48,128,162,136,156,88,70,106,4,0,37,83,14,19,10,6,3,10,14,9,23,38,5,6,0,4,16,6,6,89,507,27,9,123,125,76,21,14,13,5,2,35,CX3CR1,Lymphocyte_infiltrate
1374,2112,6050,5,2,1,7295,16,3038,3906,2728,2726,2819,2867,2112,2589,866,2008,2147,1705,1024,1802,2042,2126,1910,3930,2572,1183,1045,1586,987,996,1486,3063,3155,3749,1438,1583,1883,2227,1345,1401,1474,1592,1210,1311,811,485,1741,2212,2378,2441,2359,2584,2393,3042,4977,947,848,2200,479,693,521,968,6180,4537,114,1426,1197,1247,1702,1962,910,4625,1678,621,826,945,4211,3261,FAS,B_cell_receptor_signaling
1174,1254,4548,5,0,0,728,0,359,483,659,1207,2293,480,584,351,1428,2512,1471,376,121,741,398,135,402,1382,185,884,544,3565,795,49,49,170,427,548,266,155,188,229,63,71,82,257,148,119,1240,1294,74,44,3948,2216,7727,2056,5114,4405,7972,811,186,199,784,300,236,833,1969,1214,25,249,73,210,87,28,121,1520,265,389,33,915,4610,5646,ARG1,Myeloid_marker
159,30,449,1,0,0,135,0,75,41,88,21,17,26,23,44,2,45,47,17,38,33,40,50,15,26,82,39,19,47,30,30,39,80,86,71,103,56,98,107,124,53,44,43,45,44,22,30,62,99,49,38,82,98,82,134,129,17,39,53,25,14,17,27,44,53,0,63,104,29,23,106,40,56,44,25,8,16,59,83,BRCA2,Tumor_marker
3377,576,16197,17,1,2,11323,17,5225,700,1605,638,347,2877,1865,4873,33,835,2040,3606,1423,3017,4807,3273,2667,2202,8116,3031,2222,2472,1030,2331,3551,3908,1710,4666,8073,6363,9520,11055,6048,5992,7401,6891,5964,7110,117,50,7297,12509,268,734,433,784,274,639,412,711,1584,6035,292,346,519,344,437,218,15,2061,5298,1115,1404,4209,2692,1910,3302,984,1503,58,325,3990,CD3G,TCR_coexpression
256,96,862,0,0,0,915,1,383,73,276,134,79,307,201,402,6,141,247,505,134,435,595,278,439,157,904,315,166,150,97,225,316,447,247,691,606,515,868,911,1295,867,804,1127,1278,1058,20,12,754,1528,20,20,41,109,32,44,39,131,339,1226,76,47,56,72,129,84,3,311,743,279,265,450,535,313,525,141,170,10,55,706,CD40LG,T_cell_receptor_signaling
486,3,170,1,0,0,170,1,33,1,130,22,27,51,23,73,18,23,133,49,24,57,90,27,16,56,104,43,41,54,49,42,72,25,12,81,140,80,133,130,85,98,111,73,105,69,8,7,80,89,14,20,18,19,4,11,27,7,46,128,12,12,4,10,14,21,0,40,121,16,10,85,33,140,86,26,15,7,43,85,CDKN2A,Tumor_marker
853,67,2728,5,0,0,1484,3,674,284,437,488,475,320,169,600,178,801,999,910,626,446,961,688,925,727,1053,683,781,573,346,461,589,562,928,539,849,584,1287,1291,615,535,512,484,234,446,174,261,785,710,432,393,1075,1483,765,1070,1123,372,689,895,381,236,192,368,883,641,9,930,1142,1029,664,897,371,920,680,452,322,149,797,1397,GUSB,Housekeeping
518,43,1734,2,1,0,1895,6,444,1325,755,76,102,489,54,279,499,1248,389,619,89,1936,1128,131,74,3096,320,954,138,1618,365,172,129,140,57,45,98,126,911,763,224,78,566,655,457,299,199,848,300,125,50,298,147,66,211,288,1212,438,293,734,152,501,535,145,184,630,6,808,420,645,632,195,1081,390,979,575,211,83,308,5714,HMBS,Housekeeping
954,1,867,1,1,0,2861,10,244,1097,2639,2964,2106,2146,576,788,1323,1335,1444,1622,585,1463,1615,1144,1980,1278,2665,461,989,531,618,711,1013,1128,2228,2036,1324,1527,1850,1372,1513,1346,1459,1615,1314,1219,537,215,1341,1050,924,665,717,220,765,1139,1205,262,799,1479,290,290,368,303,2486,1088,30,1026,810,1170,944,879,521,3570,769,392,445,271,1706,1778,ICAM1,Type_II_interferon_signaling
16366,507,23537,43,14,7,26022,57,7946,4102,10414,9055,13203,17180,14899,14961,4593,8612,5932,8470,5876,8623,7676,6498,6905,11097,14570,4289,4630,5971,4897,4880,9735,8899,7953,13107,10951,11409,11780,10555,16757,14168,12660,11394,14031,11760,1407,1171,12831,14714,11717,9408,5647,8851,6981,7236,8679,3343,5329,11486,2426,2601,1690,1859,13512,7383,164,6702,12343,7412,6596,8769,6403,11524,8531,3418,2721,1976,6519,17200,IL2RG,Lymphocyte_infiltrate
9903,2140,20115,50,14,2,22804,48,7048,30812,15422,29257,17824,10417,1846,8174,24870,17226,12503,17972,5704,7576,16488,9942,13754,21177,21468,6278,13077,7044,7927,5434,8880,5730,14908,7815,11189,8745,14651,11170,16149,21027,20801,18602,9468,12127,4497,2328,10600,6848,8584,7474,7780,1858,8390,11126,34371,9906,12102,19656,7415,4893,4042,5506,29839,18190,295,13908,14940,16939,12266,11924,11409,34651,10770,4588,4832,3977,26130,49942,ITGB2,Lymphocyte_infiltrate
59029,225642,438679,382,132,23,190771,255,94456,114096,71315,28203,16960,60995,30400,78545,7835,62200,72001,54652,37687,53327,93784,67802,23331,48563,86595,43573,40885,35900,39561,13723,45355,48264,91985,136385,82991,105109,177413,127710,22308,18034,31810,34148,26814,28100,10951,5546,42685,54130,17098,28983,86952,43589,97128,76488,53037,27604,39378,56006,15311,12120,19564,12090,39180,52881,1198,47567,25257,69908,56281,58123,29691,88238,31318,19711,23270,7901,46316,164240,LYZ,Innate_immune_response
802,1212,3841,2,1,1,2888,4,2196,2258,1315,662,298,945,252,988,168,1159,1513,1389,1240,1575,3511,2873,1577,1419,4266,1732,816,389,399,1183,1735,1360,1200,1847,1710,1755,3034,2034,2320,5063,2775,2371,1904,2307,147,79,1799,1964,487,926,462,368,260,342,630,605,4048,3445,357,205,451,342,568,770,20,1795,1574,1100,1677,3456,1000,2260,2533,714,882,354,611,2895,CIITA,Type_II_interferon_signaling
