#%result_name=Analysis_1
#%array_type=Immune-response
#%annotation=Immune-response.transcript.csv
#%comparison=Y vs N
ID	Y Avg (log2)	N Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
HLA-A_345445	19.03	25.02	-63.68	0.0072	0.9746	HLA-A	major_histocompatibility_complex_class_I_A
SNAI1_138246	14.57	14.14	1.34	0.0176	0.9746	SNAI1	snail_family_zinc_finger_1
B3GAT1_170280	16.02	15.57	1.37	0.0268	0.9746	B3GAT1	beta-1_3-glucuronyltransferase_1_glucuronosyltransferase_P
ISG15_66173	19.64	20.28	-1.56	0.0303	0.9746	ISG15	ISG15_ubiquitin-like_modifier
CD52_70175	22	22.74	-1.67	0.0421	0.9746	CD52	CD52_molecule
CD48_695798	20.8	21.3	-1.41	0.0433	0.9746	CD48	CD48_molecule
HLA-DPA1_129237	22.73	23.02	-1.23	0.0532	0.9746	HLA-DPA1	major_histocompatibility_complex_class_II_DP_alpha_1
LYZ_120222	25.77	26.03	-1.2	0.0566	0.9746	LYZ	lysozyme
IFIT1_158259	19.75	20.66	-1.88	0.0628	0.9746	IFIT1	interferon-induced_protein_with_tetratricopeptide_repeats_1
CXCL8_197302	18.4	17.98	1.33	0.0635	0.9746	CXCL8	C-X-C_motif_chemokine_ligand_8
MRC1_529634	14.07	13.5	1.49	0.0644	0.9746	MRC1	mannose_receptor_C_type_1
LST1_22120	21.73	22	-1.2	0.0742	0.9746	LST1	leukocyte_specific_transcript_1
EIF2AK2_257357	21.04	21.27	-1.17	0.0767	0.9746	EIF2AK2	eukaryotic_translation_initiation_factor_2-alpha_kinase_2
IL18_140246	18.67	18.69	-1.02	0.0776	0.9746	IL18	interleukin_18_interferon-gamma-inducing_factor
CD33_387493	19.1	19.59	-1.41	0.0981	0.9746	CD33	CD33_molecule
SELL_139245	22.36	22.27	1.06	0.1034	0.9746	SELL	selectin_L
IFIT2_124224	22.28	22.42	-1.1	0.1103	0.9746	IFIT2	interferon-induced_protein_with_tetratricopeptide_repeats_2
HLA-E_639747	25.55	25.77	-1.17	0.1126	0.9746	HLA-E	major_histocompatibility_complex_class_I_E
IL15_49155	16.81	17.44	-1.54	0.1133	0.9746	IL15	interleukin_15
RPS6_124229	22.92	23.44	-1.43	0.1141	0.9746	RPS6	ribosomal_protein_S6
MAPK14_14031511	22.38	22.43	-1.03	0.1148	0.9746	MAPK14	mitogen-activated_protein_kinase_14
KIAA0101_319426	16.32	16.2	1.09	0.1224	0.9746	KIAA0101	KIAA0101
KLRB1_177284	18.56	19.46	-1.86	0.1232	0.9746	KLRB1	killer_cell_lectin-like_receptor_subfamily_B_member_1
CD69_195303	17.84	17.88	-1.03	0.1243	0.9746	CD69	CD69_molecule
ISG20_642750	20.49	20.54	-1.04	0.1259	0.9746	ISG20	interferon_stimulated_exonuclease_gene_20kDa
CDKN3_434534	15.77	16.07	-1.23	0.1265	0.9746	CDKN3	cyclin-dependent_kinase_inhibitor_3
S100A9_174280	25.5	25.63	-1.1	0.1287	0.9746	S100A9	S100_calcium_binding_protein_A9
HLA-C_9191023	25.65	25.9	-1.19	0.1302	0.9746	HLA-C	major_histocompatibility_complex_class_I_C
KIR2DL2_27126	11.61	11.29	1.25	0.1379	0.9746	KIR2DL2	killer_cell_immunoglobulin-like_receptor_2DL2_precursor
CX3CR1_58187	18.69	18.41	1.21	0.1380	0.9746	CX3CR1	CX3C_chemokine_receptor_1_isoform_a
IFI44L_12771376	18.85	19.71	-1.82	0.1457	0.9746	IFI44L	interferon-induced_protein_44-like
HERC6_17021806	17.26	17.63	-1.29	0.1469	0.9746	HERC6	HECT_and_RLD_domain_containing_E3_ubiquitin_protein_ligase_family_member_6
CX3CR1_147243	14.85	14.35	1.42	0.1480	0.9746	CX3CR1	CX3C_chemokine_receptor_1_isoform_a
ARG1_174278	19.13	19.56	-1.35	0.1561	0.9746	ARG1	arginase_1
IFI35_419526	19.91	20.07	-1.11	0.1568	0.9746	IFI35	interferon-induced_protein_35
NOTCH3_738847	11.87	11.52	1.27	0.1601	0.9746	NOTCH3	notch_3
MIF_157270	20.5	20.96	-1.38	0.1626	0.9746	MIF	macrophage_migration_inhibitory_factor
CD63_692800	22.36	22.42	-1.04	0.1677	0.9746	CD63	CD63_molecule
S100A8_239334	24.59	25.07	-1.39	0.1688	0.9746	S100A8	S100_calcium_binding_protein_A8
CD80_457557	15.32	14.71	1.53	0.1704	0.9746	CD80	CD80_molecule
LAG3_13111419	16.41	16.25	1.11	0.1775	0.9746	LAG3	lymphocyte-activation_gene_3
CD53_28133	17.11	16.57	1.46	0.1868	0.9746	CD53	CD53_molecule
FCRLA_710815	18.6	18.14	1.38	0.1909	0.9746	FCRLA	Fc_receptor-like_A
CCR7_133237	20.11	20.89	-1.72	0.2003	0.9746	CCR7	chemokine_C-C_motif_receptor_7
MX1_232336	20.55	20.97	-1.34	0.2007	0.9746	MX1	myxovirus_influenza_virus_resistance_1_interferon-inducible_protein_p78_mouse
LCN2_153259	22.74	23.52	-1.71	0.2058	0.9746	LCN2	lipocalin_2
CD3D_400503	19.83	20.44	-1.53	0.2067	0.9746	CD3D	CD3d_molecule_delta_CD3-TCR_complex
IFI6_47156	21.92	22.27	-1.28	0.2071	0.9746	IFI6	interferon_alpha-inducible_protein_6
DDX58_540643	21.14	21.3	-1.12	0.2074	0.9746	DDX58	DEAD_Asp-Glu-Ala-Asp_box_polypeptide_58
