#%result_name=Analysis_1
#%array_type=Immune-response
#%annotation=Immune-response.transcript.csv
#%comparison=1: N vs Y
ID	1: N Avg (log2)	1: Y Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
HLA-B_639746	15.07	22.24	-144.13	0.0011	0.2000	HLA-B	major_histocompatibility_complex_class_I_B
NECTIN2_13881496	14.94	16.6	-3.16	0.0016	0.2000	NECTIN2	nectin_cell_adhesion_molecule_2
HLA-DPA1_129237	18.59	21.5	-7.52	0.0041	0.2018	HLA-DPA1	major_histocompatibility_complex_class_II_DP_alpha_1
IL1A_14431546	9.94	11.22	-2.43	0.0094	0.2119	IL1A	interleukin_1_alpha
IL12B_314422	9.88	11.02	-2.2	0.0140	0.2119	IL12B	interleukin_12B_natural_killer_cell_stimulatory_factor_2_cytotoxic_lymphocyte_maturation_factor_2_p40
HLA-DQB2_142243	9.96	11.01	-2.08	0.0151	0.2119	HLA-DQB2	major_histocompatibility_complex_class_II_DQ_beta_2
CXCL13_202307	11.09	12.5	-2.67	0.0154	0.2119	CXCL13	chemokine_C-X-C_motif_ligand_13
MAGEA10_241320	9.93	10.94	-2.01	0.0171	0.2119	MAGEA10	melanoma-associated_antigen_10
HLA-DMB_854962	13	15.56	-5.91	0.0173	0.2119	HLA-DMB	major_histocompatibility_complex_class_II_DM_beta
IL2_366451	9.94	10.97	-2.03	0.0191	0.2119	IL2	interleukin-2_precursor
GAGE12J_144260	9.88	11.04	-2.23	0.0196	0.2119	GAGE12J	G_antigen_12J
HLA-G_483585	9.99	11.37	-2.6	0.0215	0.2119	HLA-G	major_histocompatibility_complex_class_I_G
MLANA_159265	9.89	11.01	-2.16	0.0221	0.2119	MLANA	melan-A
IL22_263349	10.13	11.29	-2.23	0.0252	0.2119	IL22	interleukin-22_precursor
CD44_10151123	12.46	14.13	-3.19	0.0253	0.2119	CD44	CD44_molecule_Indian_blood_group
JCHAIN_134238	22.58	21.4	2.26	0.0261	0.2119	JCHAIN	joining_chain_of_multimeric_IgA_and_IgM
TNFRSF17_254359	18.11	16.66	2.72	0.0332	0.2344	TNFRSF17	tumor_necrosis_factor_receptor_superfamily_member_17
CX3CR1_207292	13.3	14.61	-2.48	0.0337	0.2344	CX3CR1	CX3C_chemokine_receptor_1_isoform_a
CD274_461569	17.7	18.93	-2.35	0.0356	0.2346	CD274	CD274_molecule
IL17F_35139	9.88	10.91	-2.03	0.0363	0.2346	IL17F	interleukin_17F
KIR2DL2_27126	10.27	11.37	-2.14	0.0395	0.2346	KIR2DL2	killer_cell_immunoglobulin-like_receptor_2DL2_precursor
ALOX15B_13391445	14.66	16.34	-3.2	0.0422	0.2436	ALOX15B	arachidonate_15-lipoxygenase_type_B
