#%result_name=Day 1 only
#%array_type=Immune-response
#%annotation=Immune-response.transcript.csv
#%comparison=1 vs 4
ID	1 Avg (log2)	4 Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
CD6_17771886	17.63	20.56	-7.61	2.65E-10	8.93E-08	CD6	CD6_molecule
IL2RB_9991107	19.29	21.6	-4.94	4.49E-10	8.93E-08	IL2RB	interleukin_2_receptor_beta
S100A9_174280	26.05	22.18	14.59	1.65E-09	2.19E-07	S100A9	S100_calcium_binding_protein_A9
ZAP70_673781	18.36	20.76	-5.3	8.65E-09	7.84E-07	ZAP70	zeta-chain_TCR_associated_protein_kinase_70kDa
CD40LG_479579	17.33	20.02	-6.45	1.14E-08	7.84E-07	CD40LG	CD40_ligand
NCR3_234342	16.39	19.19	-6.96	1.18E-08	7.84E-07	NCR3	natural_cytotoxicity_triggering_receptor_3
LY9_13751476	16.32	18.51	-4.56	1.78E-08	9.46E-07	LY9	lymphocyte_antigen_9
GATA3_14061514	17.27	19.59	-4.99	1.90E-08	9.46E-07	GATA3	GATA_binding_protein_3
CX3CR1_35133	18.4	20.57	-4.52	2.36E-08	9.91E-07	CX3CR1	CX3C_chemokine_receptor_1_isoform_a
PRF1_672778	18.58	20.75	-4.51	2.73E-08	9.91E-07	PRF1	perforin_1_pore_forming_protein
ITGAM_31033209	22.01	20.48	2.89	2.95E-08	9.91E-07	ITGAM	integrin_alpha_M_complement_component_3_receptor_3_subunit
ARG1_174278	21.07	16.65	21.48	2.99E-08	9.91E-07	ARG1	arginase_1
CCR7_133237	19.31	22.26	-7.75	7.38E-08	2.26E-06	CCR7	chemokine_C-C_motif_receptor_7
CD247_152252	19.84	22.09	-4.75	8.25E-08	2.34E-06	CD247	CD247_molecule
CD4_147255	19.4	21.88	-5.57	9.48E-08	2.52E-06	CD4	CD4_molecule
TCF7_677799	19.68	22.63	-7.72	1.21E-07	3.00E-06	TCF7	transcription_factor_7_isoform_1
ITK_563669	19.1	21.27	-4.5	1.33E-07	3.12E-06	ITK	IL2-inducible_T-cell_kinase
IKZF2_537639	16.49	18.53	-4.09	1.99E-07	4.40E-06	IKZF2	IKAROS_family_zinc_finger_2_Helios
S100A8_239334	25.48	21.75	13.31	2.30E-07	4.44E-06	S100A8	S100_calcium_binding_protein_A8
IL10RA_192296	21.53	22.84	-2.47	2.34E-07	4.44E-06	IL10RA	interleukin_10_receptor_alpha
CA4_420530	21.33	18.93	5.28	2.52E-07	4.56E-06	CA4	carbonic_anhydrase_IV
FOXP3_865975	16.81	18.66	-3.62	2.75E-07	4.57E-06	FOXP3	forkhead_box_P3
CD63_692800	22.78	21.19	3.02	2.76E-07	4.57E-06	CD63	CD63_molecule
TBX21_9251036	18.51	20.88	-5.17	3.42E-07	5.44E-06	TBX21	T-box_21
FCGR1A_547652	21.43	19.51	3.78	3.73E-07	5.71E-06	FCGR1A	Fc_fragment_of_IgG_high_affinity_Ia_receptor_CD64
TIGIT_383491	17.01	19.33	-5.02	6.78E-07	9.99E-06	TIGIT	T_cell_immunoreceptor_with_Ig_and_ITIM_domains
CD28_601704	18.24	20.81	-5.95	7.49E-07	1.06E-05	CD28	CD28_molecule
RORC_12011307	15.21	17.75	-5.81	9.41E-07	1.29E-05	RORC	RAR-related_orphan_receptor_C
CD8B_403510	18.27	20.79	-5.74	9.73E-07	1.29E-05	CD8B	CD8b_molecule
