#%result_name=Day 1 only
#%array_type=Immune-response
#%annotation=Immune-response.transcript.csv
#%comparison=1 vs 3
ID	1 Avg (log2)	3 Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
ARG1_174278	21.07	18.4	6.39	4.04E-05	0.0092	ARG1	arginase_1
KLRG1_410518	18.61	19.73	-2.18	5.25E-05	0.0092	KLRG1	killer_cell_lectin-like_receptor_subfamily_G_member_1
CX3CR1_35133	18.4	19.7	-2.46	6.96E-05	0.0092	CX3CR1	CX3C_chemokine_receptor_1_isoform_a
LY9_13751476	16.32	17.54	-2.33	0.0001	0.0099	LY9	lymphocyte_antigen_9
ZAP70_673781	18.36	19.8	-2.71	0.0001	0.0099	ZAP70	zeta-chain_TCR_associated_protein_kinase_70kDa
TIGIT_383491	17.01	18.61	-3.04	0.0001	0.0099	TIGIT	T_cell_immunoreceptor_with_Ig_and_ITIM_domains
IL2RB_9991107	19.29	20.36	-2.1	0.0003	0.0176	IL2RB	interleukin_2_receptor_beta
SH2D1A_540642	17.25	18.59	-2.54	0.0004	0.0176	SH2D1A	SH2_domain_containing_1A
CCR5_85193	17.09	18.24	-2.22	0.0004	0.0176	CCR5	chemokine_C-C_motif_receptor_5_gene_pseudogene
PRF1_672778	18.58	19.79	-2.31	0.0007	0.0246	PRF1	perforin_1_pore_forming_protein
CD6_17771886	17.63	18.79	-2.24	0.0007	0.0246	CD6	CD6_molecule
FASLG_417521	16.45	17.54	-2.13	0.0008	0.0259	FASLG	Fas_ligand_TNF_superfamily_member_6
ITK_563669	19.1	20.23	-2.18	0.0009	0.0263	ITK	IL2-inducible_T-cell_kinase
TNFRSF18_348456	14.37	15.82	-2.74	0.0010	0.0282	TNFRSF18	tumor_necrosis_factor_receptor_superfamily_member_18
CD247_152252	19.84	21.12	-2.42	0.0011	0.0282	CD247	CD247_molecule
CRTAM_312417	16	17.11	-2.15	0.0011	0.0282	CRTAM	cytotoxic_and_regulatory_T_cell_molecule
TBX21_9251036	18.51	19.63	-2.17	0.0013	0.0309	TBX21	T-box_21
CCR6_271363	16.31	17.49	-2.26	0.0015	0.0333	CCR6	C-C_chemokine_receptor_type_6
CX3CR1_207292	14.08	15.46	-2.6	0.0016	0.0333	CX3CR1	CX3C_chemokine_receptor_1_isoform_a
CD160_194300	15.78	17.11	-2.52	0.0017	0.0333	CD160	CD160_molecule
GZMK_178286	17.26	19.07	-3.49	0.0019	0.0366	GZMK	granzyme_K_granzyme_3_tryptase_II
CD40LG_479579	17.33	18.34	-2.02	0.0024	0.0405	CD40LG	CD40_ligand
TLR3_24932595	12.82	14.49	-3.2	0.0024	0.0405	TLR3	toll-like_receptor_3
CD3E_677780	21.32	22.44	-2.17	0.0030	0.0438	CD3E	CD3e_molecule_epsilon_CD3-TCR_complex
CX3CR1_147243	13.83	15.06	-2.34	0.0031	0.0438	CX3CR1	CX3C_chemokine_receptor_1_isoform_a
EOMES_9391044	18.13	19.28	-2.23	0.0035	0.0475	EOMES	eomesodermin
CD8B_403510	18.27	19.72	-2.74	0.0039	0.0494	CD8B	CD8b_molecule
CD2_350452	20.21	21.28	-2.09	0.0041	0.0494	CD2	CD2_molecule
IL7R_551658	20.4	21.74	-2.52	0.0044	0.0494	IL7R	interleukin_7_receptor
CD8A_14271531	19.58	20.98	-2.64	0.0046	0.0494	CD8A	CD8a_molecule
ICOS_382487	16.25	17.3	-2.08	0.0049	0.0494	ICOS	inducible_T-cell_co-stimulator
GNLY_251357	21.64	23.06	-2.67	0.0050	0.0494	GNLY	granulysin
PDCD1_143244	14.62	16.03	-2.66	0.0054	0.0518	PDCD1	programmed_cell_death_1
LEXM_10551156	14.27	15.55	-2.43	0.0061	0.0563	LEXM	lymphocyte_expansion_molecule_variant2
CSF1R_19612067	17.74	19.07	-2.52	0.0063	0.0567	CSF1R	colony_stimulating_factor_1_receptor
HLA-DPA1_129237	21.79	23.17	-2.61	0.0077	0.0642	HLA-DPA1	major_histocompatibility_complex_class_II_DP_alpha_1
MRC1_529634	14.52	13.44	2.12	0.0084	0.0671	MRC1	mannose_receptor_C_type_1
CCR7_133237	19.31	20.64	-2.51	0.0096	0.0699	CCR7	chemokine_C-C_motif_receptor_7
IFNG_400500	12.93	14.24	-2.47	0.0102	0.0711	IFNG	interferon_gamma
CD28_601704	18.24	19.28	-2.05	0.0117	0.0800	CD28	CD28_molecule
CXCR6_48153	14.96	16.28	-2.51	0.0119	0.0800	CXCR6	chemokine_C-X-C_motif_receptor_6
NCR3_234342	16.39	17.54	-2.23	0.0129	0.0840	NCR3	natural_cytotoxicity_triggering_receptor_3
IFNA17_691788	13.18	10.6	5.96	0.0142	0.0877	IFNA17	interferon_alpha_17
TCF7_677799	19.68	20.8	-2.17	0.0143	0.0877	TCF7	transcription_factor_7_isoform_1
CD4_147255	19.4	20.78	-2.59	0.0154	0.0926	CD4	CD4_molecule
TNFRSF4_304389	14.11	15.38	-2.41	0.0209	0.1166	TNFRSF4	tumor_necrosis_factor_receptor_superfamily_member_4
B3GAT1_170280	15.19	16.38	-2.29	0.0285	0.1348	B3GAT1	beta-1_3-glucuronyltransferase_1_glucuronosyltransferase_P
HLA-DMB_854962	14.92	18.21	-9.75	0.0301	0.1410	HLA-DMB	major_histocompatibility_complex_class_II_DM_beta
CMKLR1_36143	12.21	13.26	-2.08	0.0305	0.1410	CMKLR1	chemokine-like_receptor_1
PGF_742842	13.37	12.19	2.27	0.0330	0.1460	PGF	placental_growth_factor
CEACAM8_745847	21.23	19	4.68	0.0392	0.1545	CEACAM8	carcinoembryonic_antigen-related_cell_adhesion_molecule_8
CLEC4C_322429	11.83	13.55	-3.3	0.0447	0.1728	CLEC4C	C-type_lectin_domain_family_4_member_C
