#%result_name=Analysis_1
#%array_type=Immune-response
#%annotation=Immune-response.transcript.csv
#%comparison=1 vs 2
ID	1 Avg (log2)	2 Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
BUB1_701803	17.95	15.71	4.74	1.86E-09	7.40E-07	BUB1	BUB1_mitotic_checkpoint_serine_threonine_kinase
CDKN3_434534	16.33	12.73	12.11	5.50E-09	1.09E-06	CDKN3	cyclin-dependent_kinase_inhibitor_3
FOXM1_10551166	16.93	14.77	4.47	1.22E-08	1.61E-06	FOXM1	forkhead_box_M1
CD4_147255	19.44	21.93	-5.62	2.02E-06	0.0002	CD4	CD4_molecule
CD6_17771886	17.88	19.7	-3.52	3.59E-06	0.0002	CD6	CD6_molecule
CCNB2_9861095	18	15.28	6.57	4.22E-06	0.0002	CCNB2	cyclin_B2
CSF1R_19612067	17.98	20.4	-5.38	4.34E-06	0.0002	CSF1R	colony_stimulating_factor_1_receptor
ZAP70_673781	18.52	20.13	-3.04	6.63E-06	0.0003	ZAP70	zeta-chain_TCR_associated_protein_kinase_70kDa
JCHAIN_134238	21.48	18.48	8	1.44E-05	0.0005	JCHAIN	joining_chain_of_multimeric_IgA_and_IgM
CCR5_85193	17.11	18.92	-3.5	1.47E-05	0.0005	CCR5	chemokine_C-C_motif_receptor_5_gene_pseudogene
KLRG1_410518	18.4	20.09	-3.23	1.47E-05	0.0005	KLRG1	killer_cell_lectin-like_receptor_subfamily_G_member_1
IL2RB_9991107	19.17	20.43	-2.4	1.86E-05	0.0006	IL2RB	interleukin_2_receptor_beta
CEACAM8_745847	20.96	16.42	23.36	1.97E-05	0.0006	CEACAM8	carcinoembryonic_antigen-related_cell_adhesion_molecule_8
CD8B_403510	18.14	20.02	-3.69	5.60E-05	0.0015	CD8B	CD8b_molecule
KIAA0101_319426	16.8	13.5	9.82	5.64E-05	0.0015	KIAA0101	KIAA0101
LCN2_153259	24.19	19.54	25.1	7.16E-05	0.0018	LCN2	lipocalin_2
KLRB1_177284	17.93	19.84	-3.76	9.05E-05	0.0021	KLRB1	killer_cell_lectin-like_receptor_subfamily_B_member_1
POLR2A_42334334	20.66	18.84	3.53	0.0001	0.0023	POLR2A	polymerase_RNA_II_DNA_directed_polypeptide_A_220kDa
IL10RA_192296	21.43	22.48	-2.07	0.0001	0.0029	IL10RA	interleukin_10_receptor_alpha
CX3CR1_35133	18.29	20.05	-3.39	0.0002	0.0031	CX3CR1	CX3C_chemokine_receptor_1_isoform_a
CD8A_14271531	19.53	21.01	-2.79	0.0002	0.0032	CD8A	CD8a_molecule
MELK_300401	16.66	15.28	2.6	0.0002	0.0032	MELK	maternal_embryonic_leucine_zipper_kinase
GZMK_178286	17.31	19.02	-3.29	0.0002	0.0037	GZMK	granzyme_K_granzyme_3_tryptase_II
TOP2A_27522855	17.77	15.5	4.84	0.0003	0.0043	TOP2A	topoisomerase_DNA_II_alpha_170kDa
TCF7_677799	19.89	21.74	-3.62	0.0003	0.0043	TCF7	transcription_factor_7_isoform_1
CD2_350452	20.15	21.81	-3.16	0.0003	0.0043	CD2	CD2_molecule
TBX21_9251036	18.39	20.05	-3.16	0.0003	0.0045	TBX21	T-box_21
TNFRSF17_254359	16.81	14.74	4.19	0.0004	0.0056	TNFRSF17	tumor_necrosis_factor_receptor_superfamily_member_17
CCL4_121220	18.98	20.06	-2.11	0.0004	0.0056	CCL4	chemokine_C-C_motif_ligand_4
SH2D1A_540642	17.24	18.93	-3.22	0.0004	0.0056	SH2D1A	SH2_domain_containing_1A
FASLG_417521	16.44	17.59	-2.21	0.0005	0.0057	FASLG	Fas_ligand_TNF_superfamily_member_6
CX3CR1_58187	18.2	19.51	-2.48	0.0005	0.0064	CX3CR1	CX3C_chemokine_receptor_1_isoform_a
HLA-DPB1_175280	21.14	22.99	-3.6	0.0006	0.0073	HLA-DPB1	major_histocompatibility_complex_class_II_DP_beta_1
HLA-DPA1_129237	21.41	23.88	-5.53	0.0007	0.0074	HLA-DPA1	major_histocompatibility_complex_class_II_DP_alpha_1
GNLY_251357	21.57	23.2	-3.1	0.0007	0.0074	GNLY	granulysin
SAMHD1_19002006	20.85	22.07	-2.33	0.0008	0.0084	SAMHD1	SAM_domain_and_HD_domain_1
NRP1_14831588	12.89	15.69	-6.94	0.0008	0.0084	NRP1	neuropilin_1
CD244_868973	18.33	19.64	-2.47	0.0010	0.0100	CD244	CD244_molecule_natural_killer_cell_receptor_2B4
TIGIT_383491	17.23	18.76	-2.9	0.0011	0.0104	TIGIT	T_cell_immunoreceptor_with_Ig_and_ITIM_domains
CDK1_837939	17.22	14.83	5.23	0.0011	0.0104	CDK1	cyclin-dependent_kinase_1
SLAMF8_9071016	15.32	16.98	-3.16	0.0012	0.0110	SLAMF8	SLAM_family_member_8
ITGB7_24342544	18.91	20.11	-2.28	0.0013	0.0118	ITGB7	integrin_beta_7
ITK_563669	19.37	20.57	-2.3	0.0013	0.0118	ITK	IL2-inducible_T-cell_kinase
NCR3_234342	16.5	17.7	-2.3	0.0013	0.0118	NCR3	natural_cytotoxicity_triggering_receptor_3
SIT1_148254	18.54	19.75	-2.32	0.0016	0.0135	SIT1	signaling_threshold_regulating_transmembrane_adaptor_1
KLRD1_515619	19.38	20.65	-2.42	0.0016	0.0136	KLRD1	killer_cell_lectin-like_receptor_subfamily_D_member_1
LILRB1_15681666	18.15	19.26	-2.16	0.0024	0.0198	LILRB1	leukocyte_immunoglobulin-like_receptor_subfamily_B_with_TM_and_ITIM_domains_member_1
KLRK1_698804	19.46	21.11	-3.13	0.0034	0.0262	KLRK1	killer_cell_lectin-like_receptor_subfamily_K_member_1
CRTAM_312417	16.17	17.47	-2.46	0.0034	0.0262	CRTAM	cytotoxic_and_regulatory_T_cell_molecule
CD160_194300	15.71	17.58	-3.67	0.0035	0.0262	CD160	CD160_molecule
LAG3_13111419	15.64	16.95	-2.49	0.0036	0.0262	LAG3	lymphocyte-activation_gene_3
CD3G_616717	20.39	21.95	-2.94	0.0036	0.0262	CD3G	CD3g_molecule_gamma_CD3-TCR_complex
HLA-DMA_764869	19.92	21.36	-2.72	0.0037	0.0262	HLA-DMA	major_histocompatibility_complex_class_II_DM_alpha
PRF1_672778	18.76	19.84	-2.11	0.0039	0.0274	PRF1	perforin_1_pore_forming_protein
CD247_152252	19.81	21.13	-2.5	0.0041	0.0274	CD247	CD247_molecule
CD3D_400503	19.44	21.18	-3.35	0.0054	0.0361	CD3D	CD3d_molecule_delta_CD3-TCR_complex
SELL_139245	22.35	21.24	2.16	0.0056	0.0366	SELL	selectin_L
PDCD1_143244	14.84	16.21	-2.59	0.0064	0.0409	PDCD1	programmed_cell_death_1
GATA3_14061514	17.23	18.6	-2.58	0.0065	0.0409	GATA3	GATA_binding_protein_3
EOMES_9391044	18.22	19.63	-2.66	0.0070	0.0434	EOMES	eomesodermin
