#%result_name=Analysis_1
#%array_type=Immune-response
#%annotation=Immune-response.transcript.csv
#%comparison=1 vs 4
ID	1 Avg (log2)	4 Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
S100A9_174280	25.94	22.18	13.53	3.21E-11	1.28E-08	S100A9	S100_calcium_binding_protein_A9
IL2RB_9991107	19.17	21.58	-5.31	7.84E-11	1.56E-08	IL2RB	interleukin_2_receptor_beta
CD6_17771886	17.88	20.58	-6.51	2.46E-10	3.26E-08	CD6	CD6_molecule
CD4_147255	19.44	21.93	-5.62	8.23E-09	8.18E-07	CD4	CD4_molecule
ARG1_174278	20.71	16.64	16.81	1.57E-08	1.14E-06	ARG1	arginase_1
ZAP70_673781	18.52	20.8	-4.85	1.71E-08	1.14E-06	ZAP70	zeta-chain_TCR_associated_protein_kinase_70kDa
FCGR1A_547652	21.55	19.52	4.08	2.50E-08	1.42E-06	FCGR1A	Fc_fragment_of_IgG_high_affinity_Ia_receptor_CD64
MYC_510619	19.42	21.2	-3.45	2.86E-08	1.42E-06	MYC	v-myc_avian_myelocytomatosis_viral_oncogene_homolog
TCF7_677799	19.89	22.69	-6.98	4.77E-08	2.00E-06	TCF7	transcription_factor_7_isoform_1
IL10RA_192296	21.43	22.86	-2.69	5.02E-08	2.00E-06	IL10RA	interleukin_10_receptor_alpha
ITGAM_31033209	22	20.47	2.89	8.34E-08	2.81E-06	ITGAM	integrin_alpha_M_complement_component_3_receptor_3_subunit
S100A8_239334	25.3	21.72	11.96	9.00E-08	2.81E-06	S100A8	S100_calcium_binding_protein_A8
NCR3_234342	16.5	19.22	-6.6	9.19E-08	2.81E-06	NCR3	natural_cytotoxicity_triggering_receptor_3
LY9_13751476	16.62	18.56	-3.83	1.43E-07	4.07E-06	LY9	lymphocyte_antigen_9
CA4_420530	21.38	18.95	5.38	2.04E-07	5.42E-06	CA4	carbonic_anhydrase_IV
CD63_692800	22.6	21.16	2.71	2.44E-07	6.06E-06	CD63	CD63_molecule
TBX21_9251036	18.39	20.93	-5.83	3.39E-07	7.94E-06	TBX21	T-box_21
CCR7_133237	19.43	22.32	-7.39	3.83E-07	8.18E-06	CCR7	chemokine_C-C_motif_receptor_7
ITK_563669	19.37	21.32	-3.86	3.91E-07	8.18E-06	ITK	IL2-inducible_T-cell_kinase
KLRG1_410518	18.4	20.62	-4.68	5.49E-07	1.09E-05	KLRG1	killer_cell_lectin-like_receptor_subfamily_G_member_1
CD40LG_479579	17.61	20.1	-5.62	6.18E-07	1.14E-05	CD40LG	CD40_ligand
SIT1_148254	18.54	20.79	-4.76	6.36E-07	1.14E-05	SIT1	signaling_threshold_regulating_transmembrane_adaptor_1
CD8B_403510	18.14	20.81	-6.38	6.61E-07	1.14E-05	CD8B	CD8b_molecule
CSF1R_19612067	17.98	19.78	-3.5	6.87E-07	1.14E-05	CSF1R	colony_stimulating_factor_1_receptor
CX3CR1_35133	18.29	20.55	-4.81	9.93E-07	1.58E-05	CX3CR1	CX3C_chemokine_receptor_1_isoform_a
RORC_12011307	14.99	17.79	-6.94	1.65E-06	2.38E-05	RORC	RAR-related_orphan_receptor_C
GATA3_14061514	17.23	19.63	-5.27	1.67E-06	2.38E-05	GATA3	GATA_binding_protein_3
GNLY_251357	21.57	23.85	-4.85	2.03E-06	2.64E-05	GNLY	granulysin
BCL6_21502257	24.52	22.47	4.13	2.06E-06	2.64E-05	BCL6	B-cell_CLL_lymphoma_6
CCR5_85193	17.11	19.24	-4.38	2.06E-06	2.64E-05	CCR5	chemokine_C-C_motif_receptor_5_gene_pseudogene
CD247_152252	19.81	22.11	-4.92	2.81E-06	3.49E-05	CD247	CD247_molecule
PRF1_672778	18.76	20.75	-3.97	4.65E-06	5.61E-05	PRF1	perforin_1_pore_forming_protein
MAPK14_14031511	22.83	21.31	2.87	4.84E-06	5.67E-05	MAPK14	mitogen-activated_protein_kinase_14
CD28_601704	18.4	20.9	-5.66	6.18E-06	7.03E-05	CD28	CD28_molecule
CD8A_14271531	19.53	21.77	-4.72	6.41E-06	7.09E-05	CD8A	CD8a_molecule
CD74_787896	21.4	22.71	-2.48	6.81E-06	7.33E-05	CD74	CD74_molecule_major_histocompatibility_complex_class_II_invariant_chain
TIGIT_383491	17.23	19.39	-4.47	7.89E-06	8.26E-05	TIGIT	T_cell_immunoreceptor_with_Ig_and_ITIM_domains
FASLG_417521	16.44	18.4	-3.9	1.30E-05	0.0001	FASLG	Fas_ligand_TNF_superfamily_member_6
CD3G_616717	20.39	22.71	-4.99	1.30E-05	0.0001	CD3G	CD3g_molecule_gamma_CD3-TCR_complex
HLA-DOA_55163	17.22	19.32	-4.29	1.47E-05	0.0001	HLA-DOA	major_histocompatibility_complex_class_II_DO_alpha
