#%result_name=1 vs 3+4
#%array_type=Immune-response
#%annotation=Immune-response.transcript.csv
#%comparison=1 vs 3+4
ID	1 Avg (log2)	3+4 Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
IL2RB_9991107	19.1	20.69	-3.02	2.53E-11	1.01E-08	IL2RB	interleukin_2_receptor_beta
CX3CR1_35133	18.19	19.88	-3.23	2.47E-10	4.79E-08	CX3CR1	CX3C_chemokine_receptor_1_isoform_a
ARG1_174278	20.73	17.8	7.61	3.61E-10	4.79E-08	ARG1	arginase_1
CSF1R_19612067	18.07	19.46	-2.63	5.00E-10	4.97E-08	CSF1R	colony_stimulating_factor_1_receptor
ZAP70_673781	18.52	20.02	-2.83	6.67E-09	4.43E-07	ZAP70	zeta-chain_TCR_associated_protein_kinase_70kDa
KLRG1_410518	18.46	20.13	-3.2	1.76E-08	8.95E-07	KLRG1	killer_cell_lectin-like_receptor_subfamily_G_member_1
TBX21_9251036	18.36	20.18	-3.54	1.80E-08	8.95E-07	TBX21	T-box_21
CD4_147255	19.43	21.04	-3.06	4.11E-08	1.81E-06	CD4	CD4_molecule
CD8B_403510	18.08	19.98	-3.75	4.56E-08	1.81E-06	CD8B	CD8b_molecule
GNLY_251357	21.53	23.25	-3.31	7.93E-08	2.87E-06	GNLY	granulysin
CD247_152252	19.77	21.29	-2.88	1.58E-07	5.02E-06	CD247	CD247_molecule
CCR5_85193	17.15	18.59	-2.71	1.64E-07	5.02E-06	CCR5	chemokine_C-C_motif_receptor_5_gene_pseudogene
TIGIT_383491	17.23	18.84	-3.04	2.74E-07	7.80E-06	TIGIT	T_cell_immunoreceptor_with_Ig_and_ITIM_domains
ITK_563669	19.3	20.53	-2.34	3.09E-07	8.19E-06	ITK	IL2-inducible_T-cell_kinase
GZMK_178286	17.29	19.11	-3.53	3.41E-07	8.48E-06	GZMK	granzyme_K_granzyme_3_tryptase_II
LY9_13751476	16.59	17.84	-2.38	5.91E-07	1.35E-05	LY9	lymphocyte_antigen_9
CD6_17771886	17.87	19.16	-2.44	6.11E-07	1.35E-05	CD6	CD6_molecule
