#%result_name=Day 1 only
#%array_type=Immune-response
#%annotation=Immune-response.transcript.csv
#%comparison=1 vs 2
ID	1 Avg (log2)	2 Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
FOXM1_10551166	17.06	14.79	4.83	2.66E-07	0.0001	FOXM1	forkhead_box_M1
CD6_17771886	17.63	19.62	-3.96	4.60E-06	0.0005	CD6	CD6_molecule
CDKN3_434534	16.53	12.86	12.75	4.70E-06	0.0005	CDKN3	cyclin-dependent_kinase_inhibitor_3
BUB1_701803	18.14	15.9	4.71	5.30E-06	0.0005	BUB1	BUB1_mitotic_checkpoint_serine_threonine_kinase
ZAP70_673781	18.36	20.08	-3.3	7.66E-06	0.0006	ZAP70	zeta-chain_TCR_associated_protein_kinase_70kDa
CX3CR1_35133	18.4	19.97	-2.98	9.87E-06	0.0007	CX3CR1	CX3C_chemokine_receptor_1_isoform_a
HLA-DPB1_175280	21.32	22.85	-2.88	1.75E-05	0.0009	HLA-DPB1	major_histocompatibility_complex_class_II_DP_beta_1
CD4_147255	19.4	21.82	-5.35	1.88E-05	0.0009	CD4	CD4_molecule
CCR5_85193	17.09	18.86	-3.41	2.02E-05	0.0009	CCR5	chemokine_C-C_motif_receptor_5_gene_pseudogene
KLRG1_410518	18.61	20.08	-2.79	3.64E-05	0.0014	KLRG1	killer_cell_lectin-like_receptor_subfamily_G_member_1
KLRB1_177284	17.92	19.72	-3.49	7.10E-05	0.0026	KLRB1	killer_cell_lectin-like_receptor_subfamily_B_member_1
LY9_13751476	16.32	17.64	-2.5	9.44E-05	0.0031	LY9	lymphocyte_antigen_9
IL2RB_9991107	19.29	20.38	-2.13	0.0001	0.0033	IL2RB	interleukin_2_receptor_beta
CX3CR1_58187	17.73	19.49	-3.39	0.0001	0.0036	CX3CR1	CX3C_chemokine_receptor_1_isoform_a
CD8B_403510	18.27	20.08	-3.53	0.0002	0.0042	CD8B	CD8b_molecule
CSF1R_19612067	17.74	20.11	-5.17	0.0002	0.0042	CSF1R	colony_stimulating_factor_1_receptor
TBX21_9251036	18.51	19.94	-2.69	0.0003	0.0059	TBX21	T-box_21
CD244_868973	18.27	19.53	-2.4	0.0003	0.0059	CD244	CD244_molecule_natural_killer_cell_receptor_2B4
PRF1_672778	18.58	19.78	-2.3	0.0003	0.0059	PRF1	perforin_1_pore_forming_protein
FASLG_417521	16.45	17.48	-2.04	0.0003	0.0059	FASLG	Fas_ligand_TNF_superfamily_member_6
KLRK1_698804	19.62	21.02	-2.65	0.0003	0.0059	KLRK1	killer_cell_lectin-like_receptor_subfamily_K_member_1
CEACAM8_745847	21.23	16.76	22.07	0.0003	0.0059	CEACAM8	carcinoembryonic_antigen-related_cell_adhesion_molecule_8
CD160_194300	15.78	17.71	-3.8	0.0003	0.0059	CD160	CD160_molecule
POLR2A_42334334	20.52	18.82	3.26	0.0004	0.0059	POLR2A	polymerase_RNA_II_DNA_directed_polypeptide_A_220kDa
CCNB2_9861095	18.13	15.36	6.85	0.0004	0.0063	CCNB2	cyclin_B2
TIGIT_383491	17.01	18.66	-3.14	0.0004	0.0068	TIGIT	T_cell_immunoreceptor_with_Ig_and_ITIM_domains
CD8A_14271531	19.58	20.9	-2.49	0.0005	0.0068	CD8A	CD8a_molecule
LCN2_153259	24.43	19.68	26.89	0.0005	0.0071	LCN2	lipocalin_2
